job_title,company_name,job_type,location,experience_years,skills
PHP Developer,Casita -,Hybrid,Dokki,· 3+,[PHP Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Computer Engineering] [Information Technology (IT)] [PHP] [MySQL] [MVC] [AngularJS] [jQuery]
iOS Developer,Madar Soft -,Remote,Fleming,· 2 - 3,[iOS Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [RESTful] [RESTful APIs] [Software Development] [Computer Science] [Core Data] [Git] [iOS] [Objective-C]
Senior UI UX Designer,Madar Soft -,Remote,Fleming,· 3 - 4,[Senior UI UX Designer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Sketch] [figma] [Adobe XD] [UI] [UX] [UX Design] [Xd] [UI Design]
IT Specialist - Sokhna,Confidential -,On-site,Ain Sokhna,· 3+,[IT Specialist - Sokhna] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Install] [CCNA] [CCNA Voice] [SQL Server] [Troubleshoot] [Maintenance] [Information Technology (IT)]
Software Developer-Internship,TTC Technologies -,Hybrid,Heliopolis,,[Software Developer-Internship] [Student] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [CSS] [HTML] [Java] [OOP] [computer] [Software Development]
IT Technical Support,compusharaf -,On-site,Maadi,· 2 - 4,[IT Technical Support] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Information Technology (IT)] [Computer Science] [It technical support] [Help desk] [Technical Support] [IT] [technical]
Smart Home Devices - IOT Team Leader,Confidential -,Hybrid,Mansoura,· 3 - 10,[Smart Home Devices - IOT Team Leader] [Experienced] [Engineering - Construction/Civil/Architecture] [IT/Software Development] [Engineering - Mechanical/Electrical] [Electrical Engineering] [Smart Home] [Programming] [Computer Science] [Automation] [Customer Service] [Engineering]
Sales Specialist,compusharaf -,On-site,Maadi,· 1 - 3,[Sales Specialist] [Experienced] [IT/Software Development] [Sales/Retail] [Computer Science] [IT sales] [sales skills] [Sales] [Sales Target] [Communication] [Information Technology (IT)]
IT Help Desk and Infrastructure,Confidential -,On-site,6th of October,· 5 - 6,[IT Help Desk and Infrastructure] [Experienced] [IT/Software Development] [CCNA] [computer] [Computer Hardware] [Computer Science] [Firewall] [Help desk] [Information technology] [MCSA] [Installation]
Junior Project Manager for eCommerce projects,scandiweb -,Remote,Alexandria,· 0 - 1,[Junior Project Manager for eCommerce projects] [Entry Level] [IT/Software Development] [Project/Program Management] [Project Management] [agile] [magento] [scrum] [eCommerce] [web development]
HR Consultant,FIPCO -,Hybrid,Cairo,· 10+,[HR Consultant] [Manager] [Human Resources] [Strategy/Consulting] [Administration] [Arabic] [business] [Business Administration] [HR] [HR Consultant] [Human Resources] [Human Resources (HR)]
Unified Communications,Teleperformance - Egypt -,On-site,Katameya,· 3 - 5,[Unified Communications] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Active Directory] [Computer Engineering] [Computer Science] [MCSE] [SBC]
Web Administrator and developer,Confidential -,Hybrid,Mokattam,· 3 - 6,[Web Administrator and developer] [Experienced] [Administration] [IT/Software Development] [Web Administration] [Development] [Web Development] [Computer Science] [Django] [Information Technology (IT)] [PHP] [Software Development]
Security System Engineer,Silicon21 -,On-site,Nasr City,· 5 - 8,[Security System Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Security] [system engineer] [Information Technology (IT)] [Engineering] [Presales]
WordPress Developer and IT,EABA - Egyptian African Businessmen Association -,On-site,Sheraton,· 1 - 2,[WordPress Developer and IT] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Development] [HTML] [Information Technology (IT)] [Management] [IT] [Web] [Web Development]
Senior QC Tester,waffarha.com -,Hybrid,Downtown,· 5 - 7,[Senior QC Tester] [Experienced] [IT/Software Development] [Agile] [Automation] [Information Technology (IT)] [Software Testing] [Testing] [SQL] [ISTQB] [Analytical Skills] [Automation Testing]
Senior Full stack developer .Net/Angular,GAMP LTD -,On-site,Smouha,· 5 - 10,[Senior Full stack developer .Net/Angular] [Experienced] [IT/Software Development] [Angular] [Computer Science] [Full Stack Developer] [Full Stack] [developer] [Information Technology (IT)] [JavaScript] [NET] [Software Development]
HR Administration Specialist GSM German Speaker,Teleperformance - Egypt -,On-site,Maadi,· 1 - 3,[HR Administration Specialist GSM German Speaker] [Experienced] [Administration] [Human Resources] [Operations/Management] [Business Administration] [Communication skills] [Communication] [HR] [English] [Human Resources (HR)] [Labor]
System Admin Section Head,City Glass -,On-site,Heliopolis,· 5 - 7,[System Admin Section Head] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Administration] [Cisco] [Computer Science] [Information Technology (IT)] [ITIL] [Microsoft]
cyber security account manager,Outservingplus -,On-site,Giza,· 3 - 7,[cyber security account manager] [Experienced] [IT/Software Development] [Sales/Retail] [Engineering - Telecom/Technology] [CISM] [CISSP] [Communication] [Computer Science] [Cybersecurity] [Education] [Information Technology (IT)]
External Audit Senior,Nerva -,On-site,Downtown,· 4 - 5,[External Audit Senior] [Experienced] [Accounting/Finance] [Audit] [English] [Finance] [IFRS] [Microsoft Office] [Auditing] [Accounting] [Financial] [Financial Analysis]
Sales / Telesales Representatives (Fresh Graduates),Streams -,On-site,Mohandessin,· 0 - 2,[Sales / Telesales Representatives (Fresh Graduates)] [Entry Level] [Business Development] [IT/Software Development] [Sales/Retail] [Sales] [Sales Target] [sales skills] [Software] [negotiation skills] [Presentation Skills] [business]
Telesales Representative,Streams -,On-site,Mohandessin,· 3 - 7,[Telesales Representative] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [Sales] [Sales Target] [sales skills] [Software] [negotiation skills] [Presentation Skills] [business]
Sales Account Manager,Streams -,On-site,Mohandessin,· 3 - 6,[Sales Account Manager] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [Sales] [Sales Target] [sales skills] [Software] [negotiation skills] [Presentation Skills] [business]
Sales Account Manager,SmartTech Systems -,On-site,Nasr City,· 2 - 5,[Sales Account Manager] [Experienced] [Business Development] [Sales/Retail] [Sales] [IT] [Communication skills] [sales skills] [Sales Target] [Communication]
UI/UX Designer,SmartTech Systems -,On-site,Nasr City,· 2+,[UI/UX Designer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Angular] [HTML5] [Design] [JavaScript] [Sketch] [UI/UX] [UX Design] [UI]
B2B Telesales Account Manager,Confidential -,Hybrid,Maadi,· 5+,[B2B Telesales Account Manager] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [Communication skills] [B2B] [CRM] [English] [Management] [Marketing] [Microsoft Office]
"Highly Experienced Sales Manager - Saudi Market Focused , Willing to Relocate",FIPCO -,On-site,Cairo,· 10+,"[Highly Experienced Sales Manager - Saudi Market Focused , Willing to Relocate] [Manager] [Sales/Retail] [Sales] [Retail]"
IT Manager,LYCHEE EGYPT -,On-site,New Cairo,· 10 - 17,[IT Manager] [Senior Management] [IT/Software Development] [Computer Engineering] [ERP] [Information Technology (IT)] [IT] [Computer Science] [computer] [Project Management] [Skills]
Oracle Financial Consultant (EBS),EVA Cosmetics  -,On-site,6th of October,· 4 - 7,[Oracle Financial Consultant (EBS)] [Experienced] [Accounting/Finance] [IT/Software Development] [Oracle] [Oracle EBS] [Oracle E-Business Suite (EPS)]
IT Help Desk,Original International For trailers -,On-site,Obour City,· 1 - 3,[IT Help Desk] [Entry Level] [IT/Software Development] [Help desk] [Communication] [Information Technology (IT)] [computer] [Computer Engineering] [Computer Science] [Engineering]
User Experience Senior Specialist,Aman -,On-site,Maadi,· 2 - 3,[User Experience Senior Specialist] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Adobe XD] [Design] [Figma] [Information Technology (IT)] [Fintech]
flutter developer,Al Medadsoft -,On-site,Nasr City,· 3 - 7,[flutter developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Android] [Computer Science] [flutter] [Mobile Development]
Senior Full Stack (.Net Developer),qTech.  -,Hybrid,Mansoura,· 4+,[Senior Full Stack (.Net Developer)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [ASP.NET] [Information Technology (IT)] [.NET] [jQuery] [Software Development] [Computer Science] [javaScript] [C#]
UI Developer,qTech.  -,On-site,Mansoura,· 1+,[UI Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [UI] [Information Technology (IT)] [javaScript] [jQuery] [HTML] [CSS] [Angular]
iOS Mobile Developer,qTech.  -,On-site,Mansoura,· 2+,[iOS Mobile Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Software Development] [Objective-C] [Java] [OpenGL] [Mobile Development] [Computer Science] [Computer Engineering] [Software Engineering]
Computer Teachers (ICT) (American Curriculum),Creatives International Schools ( CIS ) -,On-site,10th of Ramadan City,· 1 - 3,[Computer Teachers (ICT) (American Curriculum)] [Experienced] [IT/Software Development] [Education/Teaching] [computer] [Computer Skills] [ICT] [Education] [Teaching]
Customer Service,Dimofinf Operations Center -,Hybrid,Nasr City,· 3 - 4,[Customer Service] [Experienced] [Administration] [Customer Service/Support] [IT/Software Development] [Customer Service] [Customer Care] [Customer Support] [English] [Sales] [Web Chat] [Skills]
IT Section Head,Confidential -,On-site,Obour City,· 5 - 7,[IT Section Head] [Experienced] [IT/Software Development] [Engineering - Mechanical/Electrical] [computer] [Computer Science] [IT Service Management]
Odoo Implementer [Customer Support Specialist],Centione -,On-site,Nasr City,· 2 - 4,[Odoo Implementer [Customer Support Specialist]] [Experienced] [Customer Service/Support] [IT/Software Development] [Computer Science] [CRM] [Customer Service] [Customer Support] [Communication] [Communication skills] [Accounting] [Odoo]
Senior Graphic Designer,Outservingplus -,On-site,Giza,· 5 - 7,[Senior Graphic Designer] [Experienced] [Creative/Design/Art] [Marketing/PR/Advertising] [Media/Journalism/Publishing] [adobe] [Adobe Creative Suite] [Adobe illustrator] [Adobe Photoshop] [Arts] [Creative] [Design]
Senior Oracle SCM Consultant,Confidential -,On-site,New Cairo,· 3 - 5,[Senior Oracle SCM Consultant] [Experienced] [IT/Software Development] [Manufacturing/Production] [Oracle EBS] [Oracle SCM] [R12] [Oracle] [Supply Chain] [Implementations] [Information Technology (IT)]
Finance Analyst,Guillam -,On-site,San Stefano,· 1 - 3,[Finance Analyst] [Experienced] [Accounting/Finance] [Analyst/Research] [Accounting] [Finance] [Budgeting] [Research] [Administration] [Financial Analysis] [Financial Management] [English]
Senior IOS Developer,BBI-Consultancy -,Hybrid,Maadi,· 3 - 5,[Senior IOS Developer] [Experienced] [IT/Software Development] [iOS] [Objective-C] [Design] [Computer Science] [Software Development] [Information Technology (IT)] [Swift] [ui] [quality]
Senior General Accountant,Confidential -,On-site,Nasr City,· 3 - 4,[Senior General Accountant] [Experienced] [Accounting/Finance] [IT/Software Development] [Accounts Payable] [Accounting] [General Ledger] [Financial Management] [GAAP] [Tax] [ERP] [CMA]
Full Stack .NET Developer (Next.js. - React.js - Tailwind),Advanced Solutions -,Hybrid,Nasr City,· 6 - 8,[Full Stack .NET Developer (Next.js. - React.js - Tailwind)] [Experienced] [IT/Software Development] [.Net] [Full Stack] [React] [next] [tailwind]
IOT Process optimization consultant / 6 Months contract,Efada Technology -,Hybrid,6th of October,· 5 - 10,[IOT Process optimization consultant / 6 Months contract] [Experienced] [Engineering - Construction/Civil/Architecture] [Hospitality/Hotels/Food Services] [IT/Software Development] [Data Science] [phd] [operations reasearch] [Customer Operations Performance Centre] [Research] [MBA] [Software Engineering]
ChatBot Developer,Efada Technology -,Hybrid,6th of October,· 1 - 2,[ChatBot Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [Software Development] [chatbot] [Microservices]
Informatica Power Center Professional,Efada Technology -,On-site,Cairo,· 2 - 10,[Informatica Power Center Professional] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering] [ETL] [Informatica] [Power Center] [Management] [electrical power engineering] [data quality] [data integration]
Junior Full Stack Software Engineer TypeScript,Bill My Plate -,Remote,Cairo,· 0 - 2,[Junior Full Stack Software Engineer TypeScript] [Entry Level] [R&D/Science] [IT/Software Development] [Engineering - Telecom/Technology] [backend] [front-end] [Software Engineering] [NodeJS] [Typescript]
Enterprise Architecture Coordinator,Teleperformance - Egypt -,Remote,Cairo,· 2 - 20,[Enterprise Architecture Coordinator] [Experienced] [IT/Software Development] [Analyst/Research] [Enterprise] [Information Technology (IT)] [Enterprise Architecture] [Project Management]
IT and WordPress Developer,Confidential -,On-site,Sheraton,· 1 - 3,[IT and WordPress Developer] [Entry Level] [IT/Software Development] [Information Technology (IT)] [IT] [networks] [WordPress] [Web Development]
Sales Account Manager,Informatique Education -,On-site,Nasr City,· 2 - 4,[Sales Account Manager] [Experienced] [IT/Software Development] [Sales] [sales skills] [Sales Target] [Software] [CRM] [Marketing] [Communication]
Midlevel Quality Control Engineer,Algoriza -,Remote,Giza,· 3 - 6,[Midlevel Quality Control Engineer] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [API] [Automation] [Computer Science] [Engineering] [ISTQB] [quality] [Quality Assurance]
Flutter developer,MOTHOL -,Remote,Cairo,· 1 - 2,[Flutter developer] [Experienced] [IT/Software Development] [Computer Science] [flutter] [Software Development] [Software Engineering] [Information Technology (IT)] [Engineering] [Software] [Development] [APIs]
Application Support,Energya Cables -,On-site,10th of Ramadan City,· 4 - 7,[Application Support] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering] [Information Technology (IT)]
Full Stack Team Lead,SmartTech Systems -,On-site,Nasr City,· 6 - 8,[Full Stack Team Lead] [Manager] [IT/Software Development] [Engineering - Telecom/Technology] [Angular] [.Net Framework] [Software Development] [Computer Science] [SQL] [JavaScript] [Information Technology (IT)]
Senior Full Stack Developer,Indigen Middle-East -,Hybrid,Heliopolis,· 3+,[Senior Full Stack Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [MySQL] [NoSQL] [MongoDB] [Linux] [GIT] [Backend Development] [NodeJS] [PHP]
Software Developer C# .Net,Confidential -,On-site,Zamalek,· 1 - 3,[Software Developer C# .Net] [Entry Level] [IT/Software Development] [Flutter] [software Developer] [Software Engineering] [Computer Science] [Information Technology (IT)] [Software Development]
System Security Operations Engineer,Fawry for Banking Technology and Electronic Payments S.A.E -,On-site,Smart Village,· 2 - 4,[System Security Operations Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Security Systems] [Security] [Linux] [Information Technology (IT)] [Computer Science] [System Security] [operating system]
Data Analyst,Kasrawy Group -,On-site,Abu Rawash,· 1 - 3,[Data Analyst] [Experienced] [IT/Software Development] [Analyst/Research] [Engineering - Telecom/Technology] [Communication] [Communication skills] [Analysis] [Computer Science] [Economics] [Data Analysis] [English]
Media Buyer,SkyCloud -,Remote,Alexandria,· 3 - 10,[Media Buyer] [Experienced] [Business Development] [IT/Software Development] [Marketing/PR/Advertising] [Advertising] [media] [Media Buyer] [digital media] [digital marketing] [Digital Marketing]
"Full-Stack Developer (SQL, Express, Angular, Node)",PraxiLabs -,Hybrid,Giza,· 3 - 6,"[Full-Stack Developer (SQL, Express, Angular, Node)] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Software] [JavaScript] [Software Development] [Agile] [Angular] [AWS]"
Product Owner,PraxiLabs -,Hybrid,Giza,· 3 - 6,[Product Owner] [Experienced] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [Computer Science] [Engineering] [business] [Information Technology (IT)] [Product Owner] [Project Management] [Software Development]
IT Help Desk,Royal Lab -,On-site,Heliopolis,· 1 - 2,[IT Help Desk] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Computer Science] [Computer Systems] [IT] [IT Help Desk] [Information Technology (IT)]
Senior Odoo Functional Consultant,Global Business solutions - GBS -,On-site,Nasr City,· 3 - 6,[Senior Odoo Functional Consultant] [Experienced] [Accounting/Finance] [IT/Software Development] [Engineering - Telecom/Technology] [Accounting] [ERP] [Finance] [Functional consultant] [Odoo ERP]
Software Engineer .net,Marbella For Food Industry  -,On-site,6th of October,· 1 - 3,[Software Engineer .net] [Entry Level] [Business Development] [IT/Software Development] [Engineering - Telecom/Technology] [AJAX] [APIs] [Computer Science] [CSS] [Design] [HTML] [Information Technology (IT)]
Junior Quality Assurance,Yodawy Med -,Hybrid,Giza,· 0 - 2,[Junior Quality Assurance] [Entry Level] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [QA] [quality] [Quality Assurance] [Software Development] [Software Engineering] [Testing] [Software]
Oracle Developer,Blue Bell  -,On-site,Bourj Alarab,· 1 - 2,[Oracle Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [oracle developer] [Oracle] [Information Technology (IT)] [developer] [Software Development]
Flutter developer (Med: Senior),Spark Systems -,On-site,Sheikh Zayed,· 2 - 5,[Flutter developer (Med: Senior)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [Software Development] [Flutter] [Mobile Development] [RESTful] [UI] [APIs]
"Full Stack .NET Developer (Angular, SQL)",Advanced Solutions -,Hybrid,Nasr City,· 6 - 8,"[Full Stack .NET Developer (Angular, SQL)] [Experienced] [IT/Software Development] [.Net] [Angular] [Engineering] [SQL] [Software Development] [Computer Science] [ASP.Net] [HTML5] [Full Stack]"
Senior .Net Developer,Egabi FSI -,On-site,Sheraton,· 3 - 8,[Senior .Net Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Computer Science] [ASP.NET] [MS SQL] [MS SQL Server] [javaScript] [C#] [.NET]
Junior Full Stack .NET Developer,Aliaict -,On-site,Nasr City,· 2+,[Junior Full Stack .NET Developer] [Entry Level] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [.Net] [Angular] [Computer Science] [CSS] [Engineering] [HTML] [Information Technology (IT)]
Senior Full Stack .Net Developer,Aliaict -,On-site,Nasr City,· 4 - 7,[Senior Full Stack .Net Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [.Net] [Angular] [ASP.Net] [Computer Science] [CSS] [HTML] [Information Technology (IT)]
Back-End Developer,Khales -,On-site,Giza,· 2 - 4,"[Back-End Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [AdobeXD] [Angular] [Java SE] [Java EE] [Spring] [C,] [C++] [Kotlin]"
Android Developer,Egpay -,On-site,Cairo,· 3+,[Android Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Computer Engineering] [Information Technology (IT)] [Android] [Android Development] [APIs] [Git] [Socket Streaming]
Electronics Engineer - C# / .NET,Beta Electronics -,On-site,Dokki,· 1 - 5,[Electronics Engineer - C# / .NET] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [C#] [Engineering] [Computer Science] [Programming] [Electronics] [Electronics Engineering] [Computer Engineering] [.Net]
Full Stack Developer-MERN,Confidential -,Remote,Cairo,· 4 - 7,[Full Stack Developer-MERN] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [React] [React.js] [Node.js] [MERN] [MongoDB] [MySQL] [Typescript] [next]
Senior Laravel Backend Developer,EL KHETA -,Hybrid,San Stefano,· 5+,[Senior Laravel Backend Developer] [Experienced] [IT/Software Development] [senior laravel backend developer] [Laravel] [backend developer] [Vue.js] [GraphQL] [php] [MVC] [SQL] [Git]
Web Designer,Morad trading  -,On-site,Giza,· 1 - 4,[Web Designer] [Entry Level] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Designer] [website] [Computer Science] [Web Design]
Angular.js - (Front-end )- internship - Remotely,Alexandria For Programming -,Remote,Bolkly,,[Angular.js - (Front-end )- internship - Remotely] [Entry Level] [IT/Software Development] [Angular] [Computer Science] [Information Technology (IT)] [Software Development] [JavaScript] [Front-End Development]
Asp.Net Core / Dot Net Back-end Developer - Internship,Alexandria For Programming -,Remote,Bolkly,,[Asp.Net Core / Dot Net Back-end Developer - Internship] [Entry Level] [IT/Software Development] [.Net] [ASP] [ASP.Net] [Computer Science] [C#] [API] [Database Design] [Database] [Information Technology (IT)]
Senior Accountant,arib -,On-site,Nasr City,· 3 - 5,[Senior Accountant] [Experienced] [Accounting/Finance] [Banking] [Accounting] [Communication] [Accounting Software] [Financial Analysis] [Finance] [excel] [Odoo] [Writing]
Hardware Technician,Interact Technology Solutions -,On-site,Maadi,· 2 - 4,[Hardware Technician] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Technical Support] [DBD] [Information Technology (IT)] [Microsoft Office] [CRM] [Electrical Engineering] [PC software]
Flutter Developer with Backend Experience (Node.js/TypeScript),Confidential -,Remote,Cairo,· 3 - 7,[Flutter Developer with Backend Experience (Node.js/TypeScript)] [Experienced] [IT/Software Development] [flutter] [Development] [RESTful] [Software Development] [backend] [Node.js] [Typescript] [Mobile Development]
Senior Web Developer,Madar Soft -,Remote,Fleming,· 3 - 4,[Senior Web Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Computer Engineering] [CSS] [Engineering] [HTML] [Information Technology (IT)] [MVC] [jQuery]
MS SQL DBA Engineer,Confidential -,On-site,Nasr City,· 5+,[MS SQL DBA Engineer] [Experienced] [IT/Software Development] [DBA] [SQL]
Senior Product Owner,TechJump -,Hybrid,Alexandria,· 2 - 4,[Senior Product Owner] [Experienced] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [Product Owner] [Software Development] [Information Technology (IT)]
Frontend Developer - Vue.js /React,TopLine  -,Remote,Cairo,· 3+,[Frontend Developer - Vue.js /React] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [CSS] [front-end] [HTML] [Information Technology (IT)] [JavaScript] [JSON] [React]
Technician (Maintenance) - Mobile,Raya Distribution -,On-site,Shubra,· 1 - 2,[Technician (Maintenance) - Mobile] [Entry Level] [Customer Service/Support] [Installation/Maintenance/Repair] [IT/Software Development] [Communication] [Maintenance] [quality] [technical] [Repair]
Data Annotation Team Lead,Eg Insurtech -,Hybrid,Cairo,· 3 - 5,[Data Annotation Team Lead] [Experienced] [IT/Software Development] [Computer Science] [data labeling] [English] [Skills] [Software Engineering] [#data] [Artificial Intelligence]
Odoo Functional Consultant,Informatique Education -,On-site,Nasr City,· 2 - 3,[Odoo Functional Consultant] [Experienced] [IT/Software Development] [Operations/Management] [Engineering - Telecom/Technology] [Analysis] [Accounting] [Computer Science] [Consulting] [ERP] [Information Technology (IT)] [IT]
HORECA Direct Sales Manager,Food Lover for Trade and Food Industries. -,Hybrid,Obour City,· 7 - 10,[HORECA Direct Sales Manager] [Manager] [Hospitality/Hotels/Food Services] [Operations/Management] [Sales/Retail] [HORECA] [Food] [Direct Sales] [sales skills] [Sales] [Food Service] [Food Processing]
UI UX Designer,Exco Egypt -,Hybrid,Nasr City,· 2+,[UI UX Designer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Adobe illustrator] [Computer Science] [adobe] [Design] [illustrator] [Information Technology (IT)] [InVision]
STEM Instructor/Teacher,TechAdemics -,On-site,New Cairo,· 1 - 3,[STEM Instructor/Teacher] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Education/Teaching] [Teaching] [Computer Science] [Education] [Electronics] [STEM] [Programming] [Robotics]
Software Project Manager,Confidential -,On-site,Nasr City,· 5+,[Software Project Manager] [Experienced] [Project/Program Management] [PMP] [PgMP]
Senior Oracle Developer,National Technology -,On-site,Nasr City,· 3 - 5,[Senior Oracle Developer] [Experienced] [Business Development] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Engineering] [Computer Science] [Configuration] [Database] [Engineering] [Information Technology (IT)] [PL]
Senior NET Developer,Techsa -,Hybrid,New Cairo,· 4 - 6,[Senior NET Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [.Net] [ASP.Net] [MVC] [OOP] [Python] [Software Development] [C#] [NoSQL Database]
Senior Software Quality Assurance Engineer,Exco Egypt -,Hybrid,Nasr City,· 3+,[Senior Software Quality Assurance Engineer] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Computer Science] [engineer] [Information Technology (IT)] [quality] [Quality Assurance] [quality assurance engineer] [senior]
Senior Android Developer,Softxpert Incorporation  -,Hybrid,Alexandria,· 3 - 5,[Senior Android Developer] [Experienced] [IT/Software Development] [Agile] [Android] [Computer Science] [Git] [Information Technology (IT)] [MVC] [Software] [Java] [Software Engineering]
Business Developer,Sarmady -,Remote,Giza,· 1 - 3,[Business Developer] [Entry Level] [Business Development] [IT/Software Development] [Marketing/PR/Advertising] [Business developer] [Business Development] [sales skills] [Creativity] [business] [developer] [Sales Target]
UI UX Graphic Designer,Confidential -,On-site,Nasr City,· 3 - 5,[UI UX Graphic Designer] [Experienced] [IT/Software Development] [GNU] [CSS] [JavaScript] [Adobe Indesign]
IT Specialist,Orchidia Pharmaceutical Industries -,On-site,Obour City,· 2 - 4,[IT Specialist] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Computer Engineering] [Information Technology (IT)] [Cisco] [VMware] [Microsoft] [Disaster Recovery Planning] [Firewalls]
Service Desk Specialist,Elsewedy industries -,On-site,10th of Ramadan City,· 1 - 4,[Service Desk Specialist] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Service Desk] [Customer Service] [Information Technology (IT)] [Help desk] [CCNA] [MCSA] [Computer Science] [Information technology]
ERP Specialist,Orchidia Pharmaceutical Industries -,On-site,Obour City,· 1 - 3,[ERP Specialist] [Experienced] [IT/Software Development] [Analysis] [Accounting] [ERP] [Data Analysis] [Consulting] [business]
Infrastructure Team leader,Confidential -,On-site,Shubra,· 6 - 8,[Infrastructure Team leader] [Manager] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [Cloud] [Information Technology (IT)] [MCSE] [DevOps] [Vmware] [SQL Server] [Sales Target]
Sales Account Manager (Software Background),Lumin -,On-site,6th of October,· 3 - 7,[Sales Account Manager (Software Background)] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [B2B] [Communication skills] [Business Development] [business] [English] [Management] [Sales]
SEO Content Creator,"Izam, inc. -",On-site,Mohandessin,· 2 - 5,[SEO Content Creator] [Experienced] [Writing/Editorial] [IT/Software Development] [Technical Writing] [Writing] [SEO] [Arabic] [English] [Ms Office] [Marketing]
Cybersecurity Presales Engineer,Alkan CIT -,On-site,Mokattam,· 3 - 5,[Cybersecurity Presales Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering - Other] [Cybersecurity] [Engineering] [Information Technology (IT)] [Presales] [Computer Science]
SharePoint Engineer,Nahdet Misr Publishing Group -,On-site,Mohandessin,· 2 - 4,[SharePoint Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Azure] [Business Administration] [ITIL] [Information Technology (IT)] [Sharepoint] [MicrosoftSharePoint]
Senior Front End Developer (Vue.js),Equine Solutions -,On-site,Nasr City,· 2+,[Senior Front End Developer (Vue.js)] [Experienced] [Creative/Design/Art] [IT/Software Development] [Project/Program Management] [Computer Science] [CSS] [CSS3] [HTML5] [JavaScript] [Software Development] [ui]
Software Architect Engineer,Nahdet Misr Publishing Group -,Hybrid,Mohandessin,· 8 - 12,[Software Architect Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [.Net] [Architecture] [AWS] [Azure] [Computer Engineering] [Cloud] [Computer Science] [DevOps]
